name,activity,download
xphero,com.unity3d.player.UnityPlayerActivity,https://github.com/brandonmathewp/unity-games/releases/download/latest/
pool-billiards,com.unity3d.player.UnityPlayerActivity,https://github.com/brandonmathewp/unity-games/releases/download/latest/
